Время    эдс
мс       мв
    
0.468444824  0.002379266
0.469970703  0.002373409
0.471496582  0.002367579
0.473022461  0.002361772
0.47454834  0.002355985
0.476074219  0.002350215
0.477600098  0.002344461
0.479125977  0.002338719
0.480651855  0.002332991
0.482177734  0.002327277
0.483703613  0.002321581
0.485229492  0.002315908
0.486755371  0.002310259
0.48828125  0.002304637
0.489807129  0.002299042
0.491333008  0.002293475
0.492858887  0.002287935
0.494384766  0.002282417
0.495910645  0.002276918
0.497436523  0.002271438
0.498962402  0.002265977
0.500488281  0.002260537
0.50201416  0.002255121
0.503540039  0.002249729
0.505065918  0.002244356
0.506591797  0.002239
0.508117676  0.002233659
0.509643555  0.002228332
0.511169434  0.00222302
0.512695313  0.002217728
0.514221191  0.002212458
0.51574707  0.00220721
0.517272949  0.002201984
0.518798828  0.002196778
0.520324707  0.002191593
0.521850586  0.002186429
0.523376465  0.002181283
0.524902344  0.002176157
0.526428223  0.002171047
0.527954102  0.00216595
0.52947998  0.002160864
0.531005859  0.00215579
0.532531738  0.002150731
0.534057617  0.002145693
0.535583496  0.002140678
0.537109375  0.002135686
0.538635254  0.002130714
0.540161133  0.002125753
0.541687012  0.002120797
0.543212891  0.002115848
0.54473877  0.00211091
0.546264648  0.002105989
0.547790527  0.002101088
0.549316406  0.002096212
0.550842285  0.002091358
0.552368164  0.002086527
0.553894043  0.002081717
0.555419922  0.002076929
0.556945801  0.002072159
0.55847168  0.002067404
0.559997559  0.002062662
0.561523438  0.002057931
0.563049316  0.002053208
0.564575195  0.002048494
0.566101074  0.002043793
0.567626953  0.002039111
0.569152832  0.002034452
0.570678711  0.002029817
0.57220459  0.002025206
0.573730469  0.002020613
0.575256348  0.002016031
0.576782227  0.002011452
0.578308105  0.002006879
0.579833984  0.002002318
0.581359863  0.001997778
0.582885742  0.001993261
0.584411621  0.001988764
0.5859375  0.001984284
0.587463379  0.001979822
0.588989258  0.001975383
0.590515137  0.001970974
0.592041016  0.001966601
0.593566895  0.001962256
0.595092773  0.001957924
0.596618652  0.00195359
0.598144531  0.001949248
0.59967041  0.001944895
0.601196289  0.001940529
0.602722168  0.001936158
0.604248047  0.001931797
0.605773926  0.001927455
0.607299805  0.001923138
0.608825684  0.001918846
0.610351563  0.001914577
0.611877441  0.001910329
0.61340332  0.001906104
0.614929199  0.001901903
0.616455078  0.001897726
0.617980957  0.00189357
0.619506836  0.001889428
0.621032715  0.001885292
0.622558594  0.001881159
0.624084473  0.001877033
0.625610352  0.001872917
0.62713623  0.001868815
0.628662109  0.001864723
0.630187988  0.001860634
0.631713867  0.001856539
0.633239746  0.001852432
0.634765625  0.001848315
0.636291504  0.001844202
0.637817383  0.001840104
0.639343262  0.001836036
0.640869141  0.001832007
0.64239502  0.001828025
0.643920898  0.001824085
0.645446777  0.001820174
0.646972656  0.001816276
0.648498535  0.001812384
0.650024414  0.001808492
0.651550293  0.001804599
0.653076172  0.001800706
0.654602051  0.001796812
0.65612793  0.001792917
0.657653809  0.001789023
0.659179688  0.001785138
0.660705566  0.001781267
0.662231445  0.001777413
0.663757324  0.001773575
0.665283203  0.001769755
0.666809082  0.001765952
0.668334961  0.001762158
0.66986084  0.00175837
0.671386719  0.001754588
0.672912598  0.001750817
0.674438477  0.001747063
0.675964355  0.001743331
0.677490234  0.001739621
0.679016113  0.001735929
0.680541992  0.001732248
0.682067871  0.001728574
0.68359375  0.001724904
0.685119629  0.001721237
0.686645508  0.001717571
0.688171387  0.001713909
0.689697266  0.001710256
0.691223145  0.001706617
0.692749023  0.001702993
0.694274902  0.001699381
0.695800781  0.001695781
0.69732666  0.001692191
0.698852539  0.001688607
0.700378418  0.001685029
0.701904297  0.001681457
0.703430176  0.001677896
0.704956055  0.001674349
0.706481934  0.001670815
0.708007813  0.001667294
0.709533691  0.001663792
0.71105957  0.001660308
0.712585449  0.001656841
0.714111328  0.001653386
0.715637207  0.001649939
0.717163086  0.001646498
0.718688965  0.001643063
0.720214844  0.001639637
0.721740723  0.001636217
0.723266602  0.0016328
0.72479248  0.001629385
0.726318359  0.001625974
0.727844238  0.001622572
0.729370117  0.001619181
0.730895996  0.0016158
0.732421875  0.001612428
0.733947754  0.001609065
0.735473633  0.001605711
0.736999512  0.001602364
0.738525391  0.001599025
0.74005127  0.001595699
0.741577148  0.001592389
0.743103027  0.001589094
0.744628906  0.001585812
0.746154785  0.001582541
0.747680664  0.001579278
0.749206543  0.00157602
0.750732422  0.001572766
0.752258301  0.001569519
0.75378418  0.001566281
0.755310059  0.001563055
0.756835938  0.00155984
0.758361816  0.001556633
0.759887695  0.001553429
0.761413574  0.001550227
0.762939453  0.001547029
0.764465332  0.001543839
0.765991211  0.001540659
0.76751709  0.001537487
0.769042969  0.001534322
0.770568848  0.001531169
0.772094727  0.001528027
0.773620605  0.001524893
0.775146484  0.001521767
0.776672363  0.00151865
0.778198242  0.001515547
0.779724121  0.001512458
0.78125  0.001509378
0.782775879  0.001506299
0.784301758  0.00150322
0.785827637  0.001500141
0.787353516  0.001497061
0.788879395  0.001493984
0.790405273  0.001490916
0.791931152  0.001487861
0.793457031  0.001484819
0.79498291  0.001481788
0.796508789  0.001478762
0.798034668  0.00147574
0.799560547  0.001472727
0.801086426  0.001469726
0.802612305  0.001466735
0.804138184  0.001463751
0.805664063  0.001460773
0.807189941  0.001457803
0.80871582  0.001454848
0.810241699  0.001451908
0.811767578  0.001448984
0.813293457  0.001446073
0.814819336  0.001443174
0.816345215  0.001440286
0.817871094  0.001437406
0.819396973  0.001434529
0.820922852  0.001431657
0.82244873  0.00142879
0.823974609  0.00142593
0.825500488  0.001423077
0.827026367  0.001420231
0.828552246  0.001417391
0.830078125  0.001414551
0.831604004  0.00141171
0.833129883  0.001408868
0.834655762  0.001406028
0.836181641  0.001403197
0.83770752  0.00140038
0.839233398  0.001397581
0.840759277  0.001394797
0.842285156  0.001392024
0.843811035  0.00138926
0.845336914  0.001386503
0.846862793  0.001383754
0.848388672  0.001381007
0.849914551  0.001378254
0.85144043  0.001375495
0.852966309  0.001372731
0.854492188  0.001369968
0.856018066  0.001367208
0.857543945  0.001364451
0.859069824  0.001361702
0.860595703  0.001358963
0.862121582  0.001356233
0.863647461  0.001353513
0.86517334  0.001350802
0.866699219  0.001348098
0.868225098  0.001345405
0.869750977  0.001342723
0.871276855  0.001340059
0.872802734  0.001337412
0.874328613  0.001334781
0.875854492  0.001332161
0.877380371  0.001329548
0.87890625  0.001326935
0.880432129  0.001324321
0.881958008  0.001321705
0.883483887  0.001319091
0.885009766  0.00131648
0.886535645  0.001313872
0.888061523  0.001311268
0.889587402  0.001308675
0.891113281  0.001306097
0.89263916  0.00130353
0.894165039  0.001300971
0.895690918  0.001298416
0.897216797  0.001295866
0.898742676  0.001293322
0.900268555  0.00129078
0.901794434  0.001288245
